"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0세","2023년_계_1세","2023년_계_2세","2023년_계_3세","2023년_계_4세","2023년_계_5세","2023년_계_6세","2023년_계_7세","2023년_계_8세","2023년_계_9세","2023년_계_10세","2023년_계_11세","2023년_계_12세","2023년_계_13세","2023년_계_14세","2023년_계_15세","2023년_계_16세","2023년_계_17세","2023년_계_18세","2023년_계_19세"
"전국  (0000000000)","51,325,329","7,984,352","225,958","253,595","266,619","279,134","309,282","333,705","364,740","413,535","445,099","441,225","441,952","490,229","476,570","473,894","448,324","468,773","495,547","449,025","435,025","472,121"
"서울특별시  (1100000000)","9,386,034","1,246,773","37,771","41,087","43,013","43,637","47,506","50,291","55,100","62,036","66,691","66,430","66,672","74,287","71,911","72,773","69,371","73,898","78,204","72,331","70,353","83,411"
"부산광역시  (2600000000)","3,293,362","457,742","12,620","14,371","15,046","15,703","17,620","19,562","21,787","24,689","26,730","26,275","25,885","28,593","27,617","27,042","24,792","26,014","27,317","24,633","24,362","27,084"
"대구광역시  (2700000000)","2,374,960","364,524","9,288","10,675","11,476","12,056","14,092","15,212","17,059","19,530","20,557","20,458","20,203","22,532","21,803","21,565","20,200","21,384","22,801","20,689","20,740","22,204"
"인천광역시  (2800000000)","2,997,410","474,408","13,892","15,920","16,423","17,286","19,232","20,398","21,797","24,729","26,574","26,078","26,100","28,713","28,470","27,870","26,350","27,176","29,194","25,915","25,270","27,021"
"광주광역시  (2900000000)","1,419,237","247,304","6,065","7,459","8,038","8,120","9,234","10,017","11,144","12,673","13,453","13,576","13,742","15,278","14,692","15,002","14,311","14,807","15,962","14,503","14,123","15,105"
"대전광역시  (3000000000)","1,442,216","234,563","7,161","7,920","7,984","7,917","8,749","9,354","10,571","11,752","12,745","12,574","12,853","13,893","13,872","13,640","13,085","13,918","14,798","13,615","13,187","14,975"
"울산광역시  (3100000000)","1,103,661","188,548","4,959","5,392","6,090","6,450","7,252","7,898","8,836","10,238","10,987","10,984","10,863","11,936","11,361","11,289","10,723","11,135","11,752","10,343","10,015","10,045"
"세종특별자치시  (3600000000)","386,525","94,277","2,639","3,184","3,612","3,664","4,124","4,504","4,939","5,465","5,842","5,568","5,499","5,992","5,593","5,610","5,204","5,297","5,100","4,521","4,030","3,890"
"경기도  (4100000000)","13,630,821","2,310,181","68,030","77,729","80,214","83,766","92,309","99,339","107,355","121,609","130,466","128,733","127,485","141,419","136,489","135,750","128,248","133,672","139,563","126,683","120,669","130,653"
"강원특별자치도  (5100000000)","1,527,807","219,925","6,637","7,442","7,592","8,135","8,740","8,897","9,546","10,832","11,599","11,452","11,675","13,211","12,980","12,992","12,480","12,755","14,059","12,644","12,744","13,513"
"충청북도  (4300000000)","1,593,469","247,779","7,487","7,638","8,380","8,741","9,331","10,693","11,335","12,803","13,547","13,378","13,720","15,100","14,840","14,882","13,997","14,500","15,477","13,778","13,519","14,633"
"충청남도  (4400000000)","2,130,119","345,828","9,312","10,541","11,393","12,336","13,531","14,526","15,932","17,826","19,320","19,054","19,357","21,386","20,932","20,797","19,741","20,564","21,465","19,560","18,589","19,666"
"전라북도  (4500000000)","1,754,757","266,786","6,478","7,165","7,677","8,390","9,239","10,278","11,487","12,918","14,359","14,491","14,856","16,616","16,681","16,708","15,830","16,664","17,820","16,213","16,116","16,800"
"전라남도  (4600000000)","1,804,217","266,659","7,663","7,997","8,542","9,237","10,254","10,704","11,496","13,229","14,300","14,304","14,830","16,702","16,511","16,233","15,324","15,857","17,080","15,530","15,052","15,814"
"경상북도  (4700000000)","2,554,324","369,237","9,967","11,247","11,752","12,603","13,950","15,422","16,593","19,167","20,759","20,466","20,965","22,987","22,291","21,729","20,953","21,840","23,374","21,151","20,833","21,188"
"경상남도  (4800000000)","3,251,158","527,946","12,805","14,184","15,477","16,889","19,275","21,374","23,952","27,506","30,150","30,387","30,232","33,767","33,088","32,687","30,801","32,308","34,211","30,156","28,998","29,699"
"제주특별자치도  (5000000000)","675,252","121,872","3,184","3,644","3,910","4,204","4,844","5,236","5,811","6,533","7,020","7,017","7,015","7,817","7,439","7,325","6,914","6,984","7,370","6,760","6,425","6,420"
